Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,Goals_H_HT,Goals_A_HT,TotalGoals_HT,Goals_H_FT,Goals_A_FT,TotalGoals_FT,Goals_H_Minutes,Goals_A_Minutes,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home_Pre,PPG_Away_Pre,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,ShotsOnTarget_H,ShotsOnTarget_A,ShotsOffTarget_H,ShotsOffTarget_A,Shots_H,Shots_A,Corners_H_FT,Corners_A_FT,TotalCorners_FT,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
1,7380328,Brazil Serie B,2024,2024-04-19 19:00:00,1,Botafogo SP,América Mineiro,0,0,0,1,1,2,['90+3'],['62'],4,"1,95","3,2","1,52","2,39","3,45","1,27","9,4","1,03","3,5",3,"2,3","1,1","6,5","1,45","2,65","2,5","1,5","2,1","1,67","1,45","1,3","1,44",0,0,1,1,0,0,0,4,4,5,4,9,8,2,1,3,"2,02","7,4","2,13","1,19","4,5","1,35","3,05",2,"2,2","2,05","1,72","2,75","1,42"
2,7380329,Brazil Serie B,2024,2024-04-19 19:00:00,1,Novorizontino,CRB,0,1,1,2,1,3,"['75', '90+5']",['14'],"2,63","1,95","5,5","1,51","2,4","3,4","1,28","8,95","1,04","1,91","3,1",5,"1,08","7,5","1,44","2,7","2,6","1,48","2,25","1,57","1,15","1,25",2,0,0,"1,5","0,5",0,0,0,8,6,7,6,15,12,4,6,10,"1,54","8,4","3,1","1,24","3,75","1,45","2,55","1,83","1,98","2,32","1,54","3,1","1,32"
3,7380333,Brazil Serie B,2024,2024-04-19 21:00:00,1,Operário PR,Avaí,0,0,0,1,0,1,['90+6'],[],"3,25","1,91",4,"1,52","2,39","3,45","1,27","9,4","1,03","2,4","3,1","3,2","1,1","6,5","1,45","2,6","2,5","1,5","2,1","1,67","1,35","1,28","1,57",0,0,2,"0,5",0,0,0,6,2,4,3,10,5,5,2,7,"1,64","8,5","2,76","1,18","4,6","1,28","3,35","1,91","2,4",2,"1,8","2,45","1,49"
4,7380331,Brazil Serie B,2024,2024-04-20 15:30:00,1,Chapecoense,Ituano,1,0,1,3,1,4,"['44', '50', '67']",['90+7'],"2,75","1,95",5,"1,52","2,39","3,45","1,27","9,4","1,03","2,04","3,07","3,96","1,09",7,"1,51","2,31","2,4","1,5","2,2","1,62","1,22","1,28","1,8",0,0,2,0,0,0,0,9,6,2,3,11,9,3,3,6,"1,62","7,7","2,91","1,25","3,6","1,39","2,77","2,1","1,99","2,2","1,6","2,95","1,35"
5,7380330,Brazil Serie B,2024,2024-04-20 16:30:00,1,Santos,Paysandu,0,0,0,2,0,2,"['69', '90']",[],"1,91","2,3",8,"1,33","3,05","2,55","1,46","5,95","1,1","1,4","4,5","8,5","1,05","9,5","1,22",4,"1,95","1,85","2,25","1,57","1,01","1,11","3,3",0,0,3,0,0,0,0,5,5,1,5,6,10,2,1,3,"1,3",12,"4,24","1,2","4,3","1,37","2,95",2,"2,14","2,1","1,68","2,8","1,4"
6,7380334,Brazil Serie B,2024,2024-04-20 17:00:00,1,Amazonas,Sport Recife,0,1,1,2,3,5,"['67', '90+1']","['31', '49', '69']","4,33","1,95","3,1","1,56","2,29","3,7","1,24","9,95","1,03","3,5",3,"2,25","1,1","6,5","1,47","2,38","2,5","1,5","2,1","1,67","1,5","1,33","1,38",0,0,"1,5",3,0,0,0,5,6,4,9,9,15,6,4,10,"2,39","7,7","1,85","1,21","3,9","1,33","3,05","2,1",2,"2,07","1,67","2,75","1,4"
7,7380335,Brazil Serie B,2024,2024-04-20 18:00:00,1,Ceará,Goiás,1,1,2,1,1,2,['45+1'],['19'],"3,2","1,95",4,"1,52","2,39","3,45","1,27","9,4","1,03","2,3","3,1","3,2","1,09",7,"1,45","2,6","2,5","1,5","2,1","1,67","1,27","1,3","1,55",0,0,1,2,0,0,0,7,3,11,2,18,5,14,3,17,"1,69","8,1","2,66","1,25","3,6","1,37","2,85","2,1","2,07","2,1","1,65","2,77","1,39"
8,7380327,Brazil Serie B,2024,2024-04-21 18:00:00,1,Ponte Preta,Coritiba,1,0,1,1,1,2,['14'],['59'],4,"1,91","3,25","1,5","2,35","3,5","1,25","8,2","1,03",3,"2,9","2,3","1,06","6,45","1,46","2,45","2,5","1,47","2,1","1,67","1,4","1,3","1,48",0,0,2,"0,5",0,0,0,2,5,1,2,3,7,3,7,10,"2,1","7,4","2,05","1,2",4,"1,36","2,9","1,83","2,52","1,85","1,85","2,33","1,53"
9,7380326,Brazil Serie B,2024,2024-04-22 21:00:00,1,Vila Nova,Guarani,1,0,1,2,0,2,"['31', '56']",[],"2,88","1,91","4,75","1,52","2,39","3,6","1,25","9,85","1,03","2,05",3,4,"1,1","6,5","1,47","2,5","2,6","1,48","2,2","1,62","1,2","1,21","1,66",0,0,3,0,0,0,0,6,7,5,4,11,11,5,7,12,"1,62","8,1","2,86","1,25","3,42","1,47","2,42","2,38","1,87","2,32","1,51","3,18","1,28"
10,7380332,Brazil Serie B,2024,2024-04-23 21:00:00,1,Brusque,Mirassol,1,0,1,3,1,4,"['8', '67', '90+7']",['50'],"3,5","1,95","3,5","1,53","2,38","3,75","1,25",11,"1,05","2,75","3,1","2,75","1,06","6,75","1,47","2,64","2,5","1,5",2,"1,73","1,42","1,3","1,47",0,0,"1,5","0,5",0,0,0,5,8,4,5,9,13,2,9,11,"1,95","7,6","2,2","1,21","3,74","1,41","2,6","2,2","1,99","2,17","1,58","2,91","1,33"
